codigo,descricao,preconormal,precooferta,inicio,fim
16706,"BATATA PRE-FRITA MAURICEA 2KG",25.49,22.99,04/08,10/08
16760,"DESOD AERO REXONA WOMEN COTTON 90G",18.79,16.99,04/08,03/09
16925,"DESOD AERO OLD SPICE MATADOR 93G",23.29,16.99,03/08,10/08
16928,"DESOD AERO OLD SPICE PEGADOR 93G",23.29,16.99,03/08,10/08
17007,"SH HEAD SHOULDERS OLEOSIDADE 200ML",23.29,18.99,03/08,10/08
17167,"CAPSULA TRES ESPRESSO AMENO 10X8G",24.69,19.99,04/08,10/08
17168,"CAPSULA TRES CHOC CARAMELO 10X10,5G",24.69,19.99,04/08,10/08
17492,"DESOD AERO REXONA WOMEN ANT INV 90G",18.79,16.99,04/08,03/09
18462,"LAVA ROUPAS URCA VERDE LIQ 3L",17.29,12.99,07/07,06/08
18473,"LAVA ROUPAS URCA AZUL 3L",17.29,12.99,07/07,06/08
18647,"SAB PROTEX MEN TRIPLA ACAO 85G",3.89,2.99,03/08,10/08
18757,"DESOD AERO OLD SPICE CABRA MACHO 93G",23.29,16.99,03/08,10/08
19384,"CR PENT SEDA BOOM VOLUMACAO 295ML",13.99,12.49,04/08,03/09
19390,"CR PENT SEDA BOOM DEFINICAO 295ML",13.99,12.49,04/08,03/09
19393,"COND SEDA BOMBA ARGAN 325ML",17.59,14.99,04/08,03/09
19399,"SH SEDA BOMBA ARGAN 325ML",16.49,13.99,04/08,03/09
20560,"DESOD AERO REXONA MEN SEM PERFUME 90G",18.79,16.99,04/08,03/09
20562,"DESOD AERO REXONA WOMEN POM E VERB 90G",18.79,16.99,04/08,03/09
20563,"DESOD AERO REXONA FLORES BRANCAS E LICHIA 90G",18.79,16.99,04/08,03/09
20818,"DESOD AERO DOVE GO FRESH ROMA E VERBENA 89G",21.29,19.98,04/08,03/09
20819,"DESOD AERO DOVE MINERAL E SALVIA 89G",21.29,19.98,04/08,03/09
21314,"DESOD AERO REXONA MEN TORC FANT 90ML",18.79,16.99,04/08,03/09
21856,"DESOD AERO REXONA MEN IMPACTO 90G",18.79,16.99,04/08,03/09
22369,"DESINF DRAGAO LAVANDA 1L",4.69,3.49,03/08,10/08
